text,rate
"









  
  
    
  I am a high school teacher, so I like to have pencils on hand to loan out to students.  These pre-sharpened pencils make it easy to hand to a student for them to get right to work.  They sharpen decently in my electric sharpener.  For the price, I was not expecting perfect high quality pencils.  I wanted a basic pencil with a functional eraser and that is exactly what I got.  If I wanted a high end pencil for my own use, I wouldn't bother (nor would I need a 150 pack).

  
",4.0 out of 5 stars
"









  
  
    
  Not really sure what ""sheerness"" indicates on a rating scale for a pencil, but sheerness is the problem.  These are nice enough pencils, good erasers, take a sharp point.  The problem is that the lead doesn't write dark enough.  I've compared these to other pencils that I own and there is a distinct difference. The writing is so light-colored that it becomes difficult to read especially when using yellow legal pads and white isn't much better. Do not recommend, find another vendor.

  
",1.0 out of 5 stars
"









  
  
    
  I bought the pencils for my daughter’s class, because teacher sent notes said they were short supply of pencils. It is a good price for the quantity. My daughter took most of the pencils to her class, and we only kept 10 of them at home. It is easy to sharpen. I used the pencils to write words with my daughter, and I usually use the regular eraser to erase. I feel it is cleaner when I use regular eraser.

  
",4.0 out of 5 stars
"









  
  
    
  I bought this for my son for back to school.  I pulled out the 24 pencils he needed then sent the other 100 pencils to his teacher for class use.  He was thrilled when I told him the cost plus that they were all sharpened.I will buy this every single year for the teachers.

  
",5.0 out of 5 stars
"









  
  
    
  I hate these pencils with the white hot intensity of a thousand burning suns.  It seems that all the lead cores are shattered, so while sharpening the tips just break off, chewing though a good portion of the pencil to get to a section that isn't broken.  Then while writing they break off again.  The worst pencils ever made.

  
",1.0 out of 5 stars
"









  
  
    
  My son has a bad habit of snapping pencils in half or chewing on them. This has caused his teachers to constantly contact me to inform he needs more pencils. The large amount of pencils in this box is so worth the price! Thanks to buying this I dont have to worry about anymore messages from the school asking for pencils to be sent in.If you have a pencil breaking little monster like I do this box will make your life easier.

  
",5.0 out of 5 stars
"









  
  
    
  I bought these to use in my second grade classroom to make sure I never run out of pencils. The problem is that in a standard pencil sharpener they frequently do not sharpen correctly and the points break off easily. The children cannot sharpen these themselves. I will not be buying them again. I will stick with Ticonderoga brand. Sorry Amazon!

  
",2.0 out of 5 stars
"









  
  
    
  You get a whole lot of pencils, number 2 already sharpened. If you have a few grandchildren the box can be divided it up. there are 150 pencils so there are a lot of pencils. They'll never run out. Make sure you have a sharpener too.

  
",5.0 out of 5 stars
"









  
  
    
  Are you too lazy to sharpen your pencil from start, these come pre-sharpened so they are ready out of the bag/box. Cheap easy to use, the erasers are ok, I would recommend buying a separate stand-alone eraser so that your don't ruin your paper.

  
",5.0 out of 5 stars
"









  
  
    
  This product sounded like a great idea.  However, the quality of the pencils are so poor.  My high school students complain about how easily the pencils literally break in half and how the lead keeps breaking when you try to sharpen the pencil.  I will not buy this again.  Didn't even use half the box before I just caved and went to Staples to buy Ticonderoga pencils.

  
",1.0 out of 5 stars
"









  
  
    
  If you are looking for good wooden pencils don't buy these.  The lead in many of the pencils is not straight and in the middle thus they sharpen poorly leaving wood over halfway up the point.

  
",1.0 out of 5 stars
"









  
  
    
  So badBroke in secondCan't sharp itJust breaksLow quality

  
",1.0 out of 5 stars
"









  
  
    
  These are pencils, not really much to say. The lead/graphite does not break easily after sharpening, eraser ends do not fall off,  The paint coating, ow whatever it is, is thick and there are no splinters. The wood material is not that plastic wood type, but appears to be a real wood, or at least the texture of a real wood. No complaints here.

  
",5.0 out of 5 stars
"









  
  
    
  As a teacher,  I need presharpened pencils. I can't have ten kids in line trying to sharpen pencils and avoid work.  The Amazon basics are ok, but the points could be better. They don't resharpen too easily. Why can't Amazon offer better prices for teachers who have $0 budget and use their own money?

  
",3.0 out of 5 stars
